pincode,district,state,population,bio_txn,demo_txn,enroll_txn,total_txn,bio_has_any_record,demo_has_any_record,enroll_has_any_record,presence_flag,bio_share,demo_share,enroll_share,dominant_service_type,demand_diversity,presence_without_usage
110001,New Delhi,Delhi,0.0,3208.0,2098.0,158.0,5464.0,1.0,1.0,1.0,True,0.5871156661786238,0.38396778916544655,0.028916544655929723,biometric,0.7124010761975084,False
110002,Central Delhi,Delhi,0.0,7655.0,2854.0,383.0,10892.0,1.0,1.0,1.0,True,0.7028094013955196,0.262027175908924,0.03516342269555637,biometric,0.6521978987451874,False
110003,Central Delhi,Delhi,0.0,6473.0,3299.0,910.0,10682.0,1.0,1.0,1.0,True,0.6059726642950758,0.30883729638644447,0.08519003931847968,biometric,0.7975713023273404,False
110004,Central Delhi,Delhi,0.0,216.0,59.0,12.0,287.0,1.0,1.0,1.0,True,0.7526132404181185,0.20557491289198607,0.041811846689895474,biometric,0.6115338244514142,False
110005,Central Delhi,Delhi,0.0,10241.0,13253.0,961.0,24455.0,1.0,1.0,1.0,True,0.4187691678593335,0.541934164792476,0.03929666734819055,demographic,0.7497589710668416,False
110006,North Delhi,Delhi,0.0,17492.0,16992.0,1009.0,35493.0,1.0,1.0,1.0,True,0.49282957202828725,0.47874228721156287,0.02842814076014989,biometric,0.7305354311745049,False
110007,North Delhi,Delhi,0.0,12872.0,15237.0,919.0,29028.0,1.0,1.0,1.0,True,0.4434339258646824,0.5249069863579992,0.03165908777731845,demographic,0.7356864063806285,False
110008,Central Delhi,Delhi,0.0,13062.0,17511.0,605.0,31178.0,1.0,1.0,1.0,True,0.41894925909295017,0.5616460324587851,0.019404708448264803,demographic,0.6963243270804954,False
110009,North West Delhi,Delhi,0.0,8326.0,8784.0,433.0,17543.0,1.0,1.0,1.0,True,0.4746052556575272,0.5007125349142107,0.024682209428261985,demographic,0.7203904846337478,False
110010,South West Delhi,Delhi,32054.916666666668,4808.0,1704.0,166.0,6678.0,1.0,1.0,1.0,True,0.7199760407307577,0.2551662174303684,0.024857741838873914,biometric,0.6161357782192399,False
110011,Central Delhi,Delhi,0.0,750.0,117.0,24.0,891.0,1.0,1.0,1.0,True,0.8417508417508418,0.13131313131313133,0.026936026936026935,biometric,0.46326818283112914,False
110012,Central Delhi,Delhi,0.0,5377.0,3217.0,196.0,8790.0,1.0,1.0,1.0,True,0.6117178612059158,0.3659840728100114,0.02229806598407281,biometric,0.6857099699467031,False
110013,South Delhi,Delhi,0.0,2040.0,1236.0,184.0,3460.0,1.0,1.0,1.0,True,0.5895953757225434,0.35722543352601155,0.05317919075144509,biometric,0.7602776766412853,False
110014,South Delhi,Delhi,0.0,4278.0,2738.0,228.0,7244.0,1.0,1.0,1.0,True,0.59055770292656,0.3779679734953065,0.03147432357813363,biometric,0.7169394932236116,False
110015,West Delhi,Delhi,0.0,9868.0,12575.0,936.0,23379.0,1.0,1.0,1.0,True,0.42208819881089865,0.5378758715086188,0.04003592968048249,demographic,0.7522714989077901,False
