pincode,district,state,population,urban_flag,total_activity,activity_per_100k,district_activity_per_100k,is_service_desert,desert_severity_score,relative_gap_pct,priority_score,priority_rank
110001,New Delhi,Delhi,0.0,unknown,572.0,inf,inf,False,0.0,,0.0,0
110002,Central Delhi,Delhi,0.0,unknown,358.0,inf,inf,False,0.0,,0.0,0
110003,Central Delhi,Delhi,0.0,unknown,626.0,inf,inf,False,0.0,,0.0,0
110004,Central Delhi,Delhi,0.0,unknown,173.0,inf,inf,False,0.0,,0.0,0
110005,Central Delhi,Delhi,0.0,unknown,360.0,inf,inf,False,0.0,,0.0,0
110006,North Delhi,Delhi,0.0,unknown,358.0,inf,132.64965096149874,False,0.0,inf,0.0,0
110007,North Delhi,Delhi,0.0,unknown,359.0,inf,132.64965096149874,False,0.0,inf,0.0,0
110008,Central Delhi,Delhi,0.0,unknown,353.0,inf,inf,False,0.0,,0.0,0
110009,North West Delhi,Delhi,0.0,unknown,357.0,inf,21.65020845331927,False,0.0,inf,0.0,0
110010,South West Delhi,Delhi,384659.0,urban,330.0,85.79027138322515,107.16988963572489,False,0.0,-19.949277101217508,0.0,0
110011,Central Delhi,Delhi,0.0,unknown,352.0,inf,inf,False,0.0,,0.0,0
110012,Central Delhi,Delhi,0.0,unknown,336.0,inf,inf,False,0.0,,0.0,0
110013,South Delhi,Delhi,0.0,unknown,331.0,inf,39.08818805579699,False,0.0,inf,0.0,0
110014,South Delhi,Delhi,0.0,unknown,345.0,inf,39.08818805579699,False,0.0,inf,0.0,0
110015,West Delhi,Delhi,0.0,unknown,345.0,inf,30.334748890419927,False,0.0,inf,0.0,0
110016,South West Delhi,Delhi,0.0,unknown,583.0,inf,107.16988963572489,False,0.0,inf,0.0,0
110017,South Delhi,Delhi,0.0,unknown,362.0,inf,39.08818805579699,False,0.0,inf,0.0,0
110018,West Delhi,Delhi,0.0,unknown,362.0,inf,30.334748890419927,False,0.0,inf,0.0,0
110019,South Delhi,Delhi,0.0,unknown,361.0,inf,39.08818805579699,False,0.0,inf,0.0,0
110020,South Delhi,Delhi,0.0,unknown,349.0,inf,39.08818805579699,False,0.0,inf,0.0,0
110021,South West Delhi,Delhi,0.0,unknown,605.0,inf,107.16988963572489,False,0.0,inf,0.0,0
110022,South West Delhi,Delhi,0.0,unknown,320.0,inf,107.16988963572489,False,0.0,inf,0.0,0
110023,South West Delhi,Delhi,0.0,unknown,538.0,inf,107.16988963572489,False,0.0,inf,0.0,0
110024,South Delhi,Delhi,181899.0,urban,337.0,185.2676485302283,39.08818805579699,False,0.0,373.97348852744307,0.0,0
