pincode,district,months_observed,trend_slope,trend_class,volatility_score
110001,New Delhi,12,41.4965034965035,increasing,0.6238402417703851
110002,Central Delhi,12,95.48251748251748,increasing,0.636436870895706
110003,Central Delhi,12,69.2027972027972,increasing,0.5357384783555824
110004,Central Delhi,12,6.381118881118881,increasing,1.0575529948875915
110005,Central Delhi,12,1.8286713286713414,increasing,0.7039572656902313
110006,North Delhi,12,134.3881118881119,increasing,0.620273671542041
110007,North Delhi,12,1.6083916083916083,increasing,0.7654626210687328
110008,Central Delhi,12,26.650349650349654,increasing,0.6835438187258587
110009,North West Delhi,12,35.46503496503496,increasing,0.6688640877123618
110010,South West Delhi,12,14.062937062937062,increasing,0.6907022330316432
110011,Central Delhi,12,7.2832167832167825,increasing,0.5461088481177079
110012,Central Delhi,12,16.27972027972028,increasing,0.7400739340050844
110013,South Delhi,12,43.53146853146853,increasing,0.7119805957604111
110014,South Delhi,12,29.825174825174823,increasing,0.7322325512535325
110015,West Delhi,12,46.72377622377622,increasing,0.6928201108695506
110016,South West Delhi,12,47.79020979020979,increasing,0.6635067275725381
110017,South Delhi,12,117.42307692307692,increasing,0.5756617879425596
110018,West Delhi,12,219.59440559440563,increasing,0.5953623116768477
110019,South Delhi,12,92.4020979020979,increasing,0.6141362695700604
110020,South Delhi,12,24.20979020979021,increasing,0.7593486544587053
110021,South West Delhi,12,30.923076923076923,increasing,0.6466130296980194
110022,South West Delhi,12,29.898601398601397,increasing,0.6990685367165811
110023,South West Delhi,12,51.28671328671328,increasing,0.7303867135573342
110024,South Delhi,12,47.24475524475525,increasing,0.7276931562346135
110025,South East Delhi,12,185.34265734265733,increasing,0.5916813177796385
110026,West Delhi,12,27.39160839160839,increasing,0.6070806357436779
110027,West Delhi,12,32.28321678321678,increasing,0.6990457660161216
110028,South West Delhi,12,0.9160839160839129,increasing,0.9773204473905068
110029,South West Delhi,12,28.517482517482517,increasing,0.7739822199377068
110030,South West Delhi,12,42.702797202797214,increasing,0.738619886759306
110031,East Delhi,12,70.55244755244756,increasing,0.6150058573811015
110032,East Delhi,12,139.04195804195803,increasing,0.6040272096711359
110033,North West Delhi,12,-13.209790209790183,decreasing,0.6929733712222919
110034,North West Delhi,12,97.87412587412591,increasing,0.621889295897005
110035,North West Delhi,12,1.2482517482517483,increasing,0.6542139686086217
110036,North West Delhi,12,42.71678321678321,increasing,0.6699553949310939
110037,South West Delhi,12,63.70979020979021,increasing,0.7062954358364509
110038,South West Delhi,12,2.2832167832167825,increasing,0.8363460240875106
110039,North West Delhi,12,-33.486013986014015,decreasing,0.7372124553224386
110040,North West Delhi,12,78.70629370629375,increasing,0.7038411760820963
110041,West Delhi,12,47.40909090909091,increasing,0.7264894992653491
110042,North West Delhi,12,205.15384615384616,increasing,0.6056500606302233
110043,South West Delhi,12,78.14685314685315,increasing,0.6252336712593298
110044,South Delhi,12,-75.16783216783217,decreasing,0.7579179371381726
110045,South West Delhi,12,19.20629370629372,increasing,0.6722965879191443
110046,South West Delhi,12,-11.146853146853147,decreasing,0.75690986810021
110047,South Delhi,12,4.706293706293706,increasing,0.7043973503978939
110048,South Delhi,12,42.23076923076923,increasing,0.6442232345720537
110049,South Delhi,12,48.993006993006986,increasing,0.6101205748382025
110051,East Delhi,12,109.4825174825175,increasing,0.6788644451593651
110052,North West Delhi,12,38.54545454545456,increasing,0.6426381105333683
110053,East Delhi,12,428.8566433566433,increasing,0.6030323460426321
110054,North Delhi,12,35.87762237762237,increasing,0.8025938170087962
110055,Central Delhi,12,17.636363636363637,increasing,0.7878123015840099
110056,North West Delhi,12,10.730769230769232,increasing,0.6721927405930503
110057,South West Delhi,12,11.55594405594406,increasing,0.8281774582580784
110058,West Delhi,12,82.43006993006993,increasing,0.7201039026957613
110059,West Delhi,12,-63.11888111888123,decreasing,0.7005743418590207
110060,Central Delhi,12,18.192307692307693,increasing,0.7435276519385748
110061,South West Delhi,12,29.853146853146846,increasing,0.6736307456397982
110062,South Delhi,12,-18.793706293706244,decreasing,0.7902364432387476
110063,West Delhi,12,16.8986013986014,increasing,0.6595178037028034
110064,South West Delhi,12,42.709790209790214,increasing,0.8164631693083457
110065,South Delhi,12,63.66083916083917,increasing,0.805019858217799
110066,South West Delhi,12,4.391608391608392,increasing,0.7525988888152494
110067,South West Delhi,12,37.96153846153846,increasing,0.7509937965855484
110068,South Delhi,12,46.97552447552447,increasing,0.6720013547081849
110069,Central Delhi,12,0.010489510489510483,increasing,2.0688160865577196
110070,South West Delhi,12,49.027972027972034,increasing,0.6695143665691448
110071,South West Delhi,12,45.52097902097902,increasing,0.7403840559263315
110072,South West Delhi,12,10.926573426573425,increasing,0.9023056993752536
110073,South West Delhi,12,10.737762237762238,increasing,0.7090108219331915
110074,South Delhi,12,-7.4720279720279645,decreasing,0.6945669435516781
110075,South West Delhi,12,67.5979020979021,increasing,0.5698093128706003
110076,South Delhi,12,46.5,increasing,0.6920141607835408
110077,South West Delhi,12,84.78671328671331,increasing,0.5813363137064267
110078,South West Delhi,12,75.24825174825175,increasing,0.6004793668632906
110080,South Delhi,12,43.762237762237746,increasing,0.8044083963727946
110081,North West Delhi,12,135.48601398601397,increasing,0.6251476750450822
110082,North West Delhi,12,44.57342657342657,increasing,0.5956074877921897
110083,North West Delhi,12,71.77972027972027,increasing,0.6611519137128655
110084,North Delhi,12,194.965034965035,increasing,0.5921525669563624
110085,North West Delhi,12,143.27272727272728,increasing,0.6225328459679598
110086,North West Delhi,12,152.12937062937064,increasing,0.6616822873965331
110087,West Delhi,12,16.884615384615383,increasing,0.6975404767038748
110088,North West Delhi,12,25.220279720279734,increasing,0.7280864498512586
110089,North West Delhi,12,76.35314685314685,increasing,0.5402393681213391
110090,North East Delhi,12,6.678321678321678,increasing,0.7590452524677521
